,biomass,glucose_simu,glucose_set,biomass yield,min enzyme cost,enzyme efficiency
1,0.09955449663493375,1.0,1.0,0.5530805368607431,0.00882295951037451,11.283571744591168
2,0.19910899326986736,2.0,2.0,0.5530805368607427,0.01764591902074902,11.28357174459116
3,0.2986634899048013,3.0,3.0,0.5530805368607431,0.026468878531121152,11.283571744592184
4,0.3982179865397347,4.0,4.0,0.5530805368607427,0.03529183804149804,11.28357174459116
5,0.4977724831746659,5.0,5.0,0.5530805368607399,0.04411479755182251,11.283571744603902
6,0.597326979809608,6.0,6.0,0.5530805368607481,0.052937757062154325,11.28357174461104
7,0.6882826189869486,7.0,7.0,0.5462560468150386,0.05983268827845259,11.503454696599656
8,0.7239174672230366,8.0,8.0,0.502720463349331,0.05984888188247607,12.09575591812354
9,0.7483302720394212,9.0,9.0,0.46193226669100074,0.06117629530206607,12.232356803308228
10,0.7646016306782578,10.0,10.0,0.42477868371014327,0.06269956568570371,12.194687831029052
11,0.7733513626960847,10.652964469593845,11.0,0.4033052463176475,0.06356857075493248,12.165624513998972
12,0.7733513626960838,10.652964469594918,12.0,0.40330524631760645,0.0635685707549372,12.165624513998054
13,0.7733513626960374,10.652964469589172,13.0,0.4033052463177998,0.06356857075491813,12.165624514000974
14,0.7733513626960532,10.652964469592813,14.0,0.4033052463176701,0.06356857075493666,12.165624513997676
15,0.7733513626960491,10.652964469590037,15.0,0.40330524631777315,0.06356857075492199,12.165624514000418
