Method,Pathway,N_Strains,Avg_True_Value,Avg_Pred_Value,Avg_Abs_Error,Avg_Ratio,Avg_Rel_Error,Std_Abs_Error,Std_Ratio
FluxGen,Glycolysis(Serine through glycolysis),85,0.7655294117647061,0.22783397967577468,0.5424282766519155,0.38180146430865763,0.7759600211241551,0.05814680383659152,0.8049843505279639
FluxGen,ED pathway(PYR through ED) ,85,0.0656470588235294,0.025299865911964932,0.06134777263440046,0.4764088904782852,0.9915953579874418,0.02936438360557113,1.0411685486064468
FluxGen,"PP pathway(PEP through PP pathway, upper bound)  ",85,0.20988235294117646,0.07752775767756867,0.13280268344486026,0.37448186315491316,0.6284558937844793,0.08524170390285855,0.32189991197130635
FluxGen,Gluco-neogenesis(PEP from oxaloacetate),85,0.026941176470588225,0.0011151479655155364,0.026690883998726895,0.06321801977051458,0.9844780851612641,0.014840801545354379,0.320828993175122
FluxGen,"Gluco-neogenesis(PYR from MAL, upper bound)",85,0.03847058823529411,0.000512964461328421,0.038090572997194566,0.016929576945099396,0.9877209102871866,0.02177651383442374,0.1328925467413848
FluxGen,"Gluco-neogenesis(PYR from MAL, lower bound)",85,0.012705882352941178,0.000512964461328421,0.012796455350135752,0.05539166669235264,1.0112325982095363,0.0076239201388146926,0.41116609599135606
FluxGen,TCA cycle(Oxaloacetate through TCA cycle),85,0.3056470588235294,0.2870614480614476,0.049143021097146064,1.0323314461626316,0.23533317667595993,0.0422005518398091,0.8333319977689805
KinLLM,Glycolysis(Serine through glycolysis),85,0.7655294117647061,0.20966164273182591,0.55586776903288,0.2713953197283348,0.7286046802716651,0.0859429166229408,0.07609051359201092
KinLLM,ED pathway(PYR through ED) ,85,0.0656470588235294,0.05531882751100482,0.08661294515806359,0.9267006147670142,1.4325829677081894,0.05841337313089525,1.9381862368200602
KinLLM,"PP pathway(PEP through PP pathway, upper bound)  ",85,0.20988235294117646,0.1198218554811793,0.12919599987321204,0.5624558477710725,0.6345110014803189,0.07701731596104824,0.6002410767762892
KinLLM,Gluco-neogenesis(PEP from oxaloacetate),85,0.026941176470588225,0.0,0.026941176470588225,0.0,1.0,0.014640414498731854,0.0
KinLLM,"Gluco-neogenesis(PYR from MAL, upper bound)",85,0.03847058823529411,0.01602008911321084,0.040794572500951774,0.5016643922534656,1.1493010137378665,0.03154711523351054,1.5040700653795633
KinLLM,"Gluco-neogenesis(PYR from MAL, lower bound)",85,0.012705882352941178,0.01602008911321084,0.024255383230857904,1.2355563267943133,1.8719199631579495,0.036438590255691634,3.561604675865664
KinLLM,TCA cycle(Oxaloacetate through TCA cycle),85,0.3056470588235294,0.2129760902250598,0.10223021314984311,0.7022032644098278,0.33329359504544126,0.1003372377054274,0.3555087189644487
fba,Glycolysis(Serine through glycolysis),85,0.7655294117647061,0.19562285234236026,0.5748788463296195,0.3441116961384852,0.8216312007706434,0.09543760311849546,0.8513904213788825
fba,ED pathway(PYR through ED) ,85,0.0656470588235294,0.01683305467557694,0.06377006146149608,0.2372454331563906,0.9895251214170593,0.029669253049617907,0.7661007835703197
fba,"PP pathway(PEP through PP pathway, upper bound)  ",85,0.20988235294117646,0.16585400532652775,0.13772986972237494,0.8248041646983111,0.6446138841834697,0.11439424788684918,0.7813380916140468
fba,Gluco-neogenesis(PEP from oxaloacetate),85,0.026941176470588225,0.0,0.026941176470588225,0.0,1.0,0.014640414498731854,0.0
fba,"Gluco-neogenesis(PYR from MAL, upper bound)",85,0.03847058823529411,0.00045680378115731275,0.03892739201645142,0.0,1.0,0.021101676011184484,0.0
fba,"Gluco-neogenesis(PYR from MAL, lower bound)",85,0.012705882352941178,0.00045680378115731275,0.013162686134098489,0.0,1.0,0.007853458830128689,0.0
fba,TCA cycle(Oxaloacetate through TCA cycle),85,0.3056470588235294,0.2442471315100003,0.07357962243773046,0.870439314914014,0.28016021246941164,0.06744458035513802,0.6038508087667416
