Gene,Reaction,true,pred,abs_error,sq_error,log1p_abs_error
Crp,FUM,3.467647006,0.3858522799999971,3.0817947260000027,9.497458733201432,1.1705465581609293
Crp,PFK,2.993823256,0.0,2.993823256,8.962977688166443,1.3847489816358902
Crp,MDH,3.286416176000001,0.3844077999999971,2.902008376000004,8.42165261437418,1.1301785266243354
Crp,SUCOAS_reverse,2.641676581,0.0,2.641676581,6.9784551586038495,1.292444174781234
Crp,FBA,2.638048690999998,0.0,2.638048690999998,6.959300896086803,1.291447464008564
Crp,PGM_reverse,4.265921730999999,6.65629817,2.3903764390000015,5.713899520126328,0.3742724014373191
Crp,ENO,4.269038433,6.65629817,2.387259737,5.699009051901309,0.37368071394303115
Crp,PGL,3.150210258,0.7823493995192223,2.3678608584807774,5.606765045125324,0.8452266161488038
Crp,G6PDH2r,3.150210257,0.7823493995192222,2.367860857480778,5.606765040389604,0.8452266159078522
Crp,TPI,0.818286734,3.1524615634134623,2.3341748294134623,5.448372134267366,0.8258066034196215
Crp,GAPD,4.999097014,7.292850239999998,2.293753225999998,5.2613038617853976,0.32378476646688825
Crp,PGK_reverse,4.999097017,7.292850239999997,2.293753222999997,5.261303848022873,0.32378476596681294
Pgi,PTAr,4.565630348999997,1.3101484259500211,3.2554819230499765,10.598162551305172,0.879298472445931
Pgi,ACKr_reverse,4.565630342999999,1.3101484259500211,3.255481917049978,10.598162512239398,0.8792984713678862
Pgi,GAPD,5.192174441,6.624321138402257,1.4321466974022572,2.0510441628801925,0.20805697961403924
Pgi,PGK_reverse,5.192174442000001,6.624321138402257,1.4321466964022562,2.051044160015896,0.20805697945254487
Pgi,PGM_reverse,4.8108509790000005,6.034905373567493,1.2240543945674922,1.4983091608599899,0.19115721154347898
Pgi,ENO,4.813148204,6.034905373567494,1.2217571695674936,1.4926905813895732,0.19076195600470292
Pgi,TPI,1.924675903,3.0929387221172706,1.1682628191172706,1.3648380145318324,0.33607955386061605
Pgi,MDH,1.930037138,1.1160356451726214,0.8140014928273787,0.6625984303252009,0.32547073863508635
Pgi,PPCK,0.676230013,0.0,0.676230013,0.4572870304819801,0.5165472319035888
Pgi,GND,2.287036055,1.709874444540359,0.5771616104596411,0.33311552458836646,0.19308396020017793
Pgi,EDA,0.550739128,0.0,0.550739128,0.3033135871102004,0.4387316740452889
Pgi,EDD,0.550739128,0.0,0.550739128,0.3033135871102004,0.4387316740452889
Zwf,ACKr_reverse,14.16473014,4.335074921365407,9.829655218634592,96.62212171723027,1.0446694180371228
Zwf,PTAr,14.164730139,4.335074921365406,9.829655217634594,96.62212169757099,1.0446694179711806
Zwf,PGM_reverse,6.504632484,10.682463364316972,4.1778308803169715,17.45427086453008,0.4425683652426784
Zwf,GAPD,7.345134357999999,11.522783656725675,4.177649298725676,17.45275366314313,0.4058710203543643
Zwf,PGK_reverse,7.345134358,11.522783656725675,4.177649298725675,17.452753663143124,0.40587102035436384
Zwf,ENO,6.517420182,10.682463364316972,4.165043182316971,17.347584710565084,0.440865841443411
Zwf,TPI,1.8326970680000003,5.85514081765451,4.02244374965451,16.180053719134634,0.88376956975617
Zwf,GLCptspp,4.520359871,6.35,1.8296401289999995,3.3475830016471346,0.2862572610390399
Zwf,PFK,5.224604289,3.444559162938789,1.7800451260612111,3.168560650814273,0.3368291841922806
Zwf,FBA,5.208357094999997,3.4445591629387886,1.763797932061208,3.110983145143394,0.33421561486690976
Zwf,PGI,4.695625757,6.3500000000000005,1.6543742430000004,2.7369541359018243,0.25500184404746884
Zwf,MDH,2.520967301,1.202494259569779,1.3184730414302213,1.738371160978258,0.4691452807793962
